Id,Zone,Type,Location,Baths,Area,Purpose,Bedrooms,Added,Price,hasFlooring,hasElectricityBackup,hasLift,hasGarden,hasParking,hasSwimmingPool,hasJacuzzi,hasMaintenanceStaff,hasSecurityStaff,URL
23964370,DHA Phase 6,House,"DHA Phase 6, DHA Defence, Karachi, Sindh",8,4.4 Marla,For Sale,7,3 hours ago,16 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_6_outclass_west_open_bungalow_immaculate_condition_on_prime_location-23964370-1483-1.html
21983071,DHA Phase 6,Flat,"DHA Phase 6, DHA Defence, Karachi, Sindh",3,5.1 Marla,For Sale,3,1 hour ago,1.5 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_6_3rd_floor_apartment_is_available_for_sale-21983071-1483-1.html
23099057,DHA Phase 7,House,"DHA Phase 7, DHA Defence, Karachi, Sindh",-,2 Kanal,For Sale,-,3 hours ago,14 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_7_bungalow_for_sale_in_phase_vii-23099057-1484-1.html
24867935,Rahat Commercial Area,Flat,"Rahat Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",3,4.9 Marla,For Sale,3,3 hours ago,1.38 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_phase_6_rahat_commercial_area_3_bedroom_apartment_is_available_for_sale-24867935-8502-1.html
21730377,DHA Phase 8,House,"DHA Phase 8, DHA Defence, Karachi, Sindh",7,1 Kanal,For Sale,6,1 hour ago,15 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_8_defence_bungalow_brand_new_500_yard_for_sale-21730377-1485-1.html
20617925,DHA Phase 8,Flat,"DHA Phase 8, DHA Defence, Karachi, Sindh",4,14.2 Marla,For Sale,3,1 hour ago,6.5 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_8_creek_vista_apartment_for_sale-20617925-1485-1.html
24685981,DHA Phase 2 Extension,Flat,"DHA Phase 2 Extension, DHA Defence, Karachi, Sindh",-,4.2 Marla,For Sale,-,1 hour ago,97 Lakh,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/dha_defence_dha_phase_2_extension_apartment_available_tile_flooring-24685981-1672-1.html
20218392,DHA Phase 4,House,"DHA Phase 4, DHA Defence, Karachi, Sindh",5,12 Marla,For Sale,5,1 hour ago,7 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_4_house_is_available_for_sale-20218392-1481-1.html
24547428,DHA Phase 4,House,"DHA Phase 4, DHA Defence, Karachi, Sindh",5,12 Marla,For Sale,5,2 hours ago,6.75 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_4_5_bedroom_bungalow_is_available_for_sale-24547428-1481-1.html
24869244,DHA Phase 2,House,"DHA Phase 2, DHA Defence, Karachi, Sindh",10,2 Kanal,For Sale,8,2 hours ago,16.5 Crore,0,0,0,0,0,0,0,0,0,https://www.zameen.com/Property/d_h_a_dha_phase_2_defence_phase_2_jori_500_x_500_yards_fully_renovated_for_sale-24869244-1479-1.html
